,number,time,duration,screen_x,screen_y
1033,1034,751808,120,807,832
1034,1035,768754,259,96,808
1035,1036,769452,120,275,289
1036,1037,769711,120,794,670
1037,1038,769851,219,747,650
1038,1039,770090,279,776,671
1039,1040,770449,120,782,654
1040,1041,770628,100,789,676
1041,1042,770748,179,830,661
1042,1043,771406,120,287,305
1043,1044,771546,120,275,305
1044,1045,771685,100,277,289
1045,1046,772124,140,821,645
1046,1047,772423,140,868,657
1047,1048,772842,120,328,272
1048,1049,772981,100,333,272
1049,1050,773200,279,322,264
1050,1051,773719,139,325,279
1051,1052,773958,120,329,280
1052,1053,774197,120,335,288
1053,1054,776570,120,106,838
1054,1055,776989,120,101,865
